"Local", "População no último censo"
"Angra dos Reis",169.511
"Aperibé",10.213
"Araruama",112.008
"Areal",11.423
"Armação dos Búzios",27.560
"Arraial do Cabo",27.715
"Barra do Piraí",94.778
"Barra Mansa",177.813
"Belford Roxo",469.332
"Bom Jardim",25.333
"Bom Jesus do Itabapoana",35.411
"Cabo Frio",186.227
"Cachoeiras de Macacu",54.273
"Cambuci",14.827
"Carapebus",13.359
"Comendador Levy Gasparian",8.180
"Campos dos Goytacazes",463.731
"Cantagalo",19.830
"Cardoso Moreira",12.600
"Carmo",17.434
"Casimiro de Abreu",35.347
"Conceição de Macabu",21.211
"Cordeiro",20.430
"Duas Barras",10.930
"Duque de Caxias",855.048
"Engenheiro Paulo de Frontin",13.237
"Guapimirim",51.483
"Iguaba Grande",22.851
"Itaboraí",218.008
"Itaguaí",109.091
"Italva",14.063
"Itaocara",22.899
"Itaperuna",95.841
"Itatiaia",28.783
"Japeri",95.492
"Laje do Muriaé",7.487
"Macaé",206.728
"Macuco",5.269
"Magé",227.322
"Mangaratiba",36.456
"Maricá",127.461
"Mendes",17.935
"Mesquita",168.376
"Miguel Pereira",24.642
"Miracema",26.843
"Natividade",15.082
"Nilópolis",157.425
"Niterói",487.562
"Nova Friburgo",182.082
"Nova Iguaçu",796.257
"Paracambi",47.124
"Paraíba do Sul",41.084
"Paraty",37.533
"Paty do Alferes",26.359
"Petrópolis",295.917
"Pinheiral",22.719
"Piraí",26.314
"Porciúncula",17.760
"Porto Real",16.592
"Quatis",12.793
"Queimados",137.962
"Quissamã",20.242
"Resende",119.769
"Rio Bonito",55.551
"Rio Claro",17.425
"Rio das Flores",8.561
"Rio das Ostras",105.676
"Rio de Janeiro",6.320.446
"Santa Maria Madalena",10.321
"Santo Antônio de Pádua",40.589
"São Francisco de Itabapoana",41.354
"São Fidélis",37.543
"São Gonçalo",999.728
"São João da Barra",32.747
"São João de Meriti",458.673
"São José de Ubá",7.003
"São José do Vale do Rio Preto",20.251
"São Pedro da Aldeia",87.875
"São Sebastião do Alto",8.895
"Sapucaia",17.525
"Saquarema",74.234
"Seropédica",78.186
"Silva Jardim",21.349
"Sumidouro",14.900
"Tanguá",30.732
"Teresópolis",163.746
"Trajano de Moraes",10.289
"Três Rios",77.432
"Valença",71.843
"Varre-Sai",9.475
"Vassouras",34.410
"Volta Redonda",257.803
